RecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,
Kerala Sadya (Traditional Kerala Feast),"1.Rice – 1 cup
2. Sambar dal – 1 cup
3. Coconut – 1 cup (grated)
4. Tamarind – 1 tbsp
5. Mustard seeds – 1 tsp
6. Curry leaves – 1 sprig
7. Turmeric powder – ½ tsp
8. Red chilies – 2
9. Ginger – 1 inch
10. Garlic – 4 cloves
11. Salt – to taste
12. Coconut oil – 2 tbsp",30 minutes,45 minutes,75 minutes,6,Kerala,Main Course / Festival,Vegetarian,"1. Cook the rice in a rice cooker or pressure  cooker.
2. In a separate pot, cook the sambar dal with turmeric and salt.
3. Prepare the coconut paste by grinding the grated coconut, red chilies, ginger, and garlic.
4. In a pan, heat coconut oil, add mustard seeds, and let them splutter.
5. Add curry leaves and the prepared coconut paste to the pan. Stir well.
6. Add tamarind juice and the cooked sambar dal, and cook for 10 minutes.
7. Serve the curry with hot rice.",
Kerala Avial (Mixed Vegetable Curry),"1. Mixed vegetables (carrot, beans, pumpkin, etc.) – 2 cups
2. Coconut – 1 cup (grated)
3. Green chilies – 3
4. Cumin seeds – 1 tsp
5. Turmeric powder – ½ tsp
6. Yogurt – 1 cup
7. Curry leaves – 1 sprig
8. Coconut oil – 2 tbsp
9. Salt-To taste",20 minutes,30 minutes,50 minutes,4,Kerala,Main Course,Vegetarian,"1. Cook the mixed vegetables in a pot with turmeric and salt.
2. Grind coconut, green chilies, and cumin seeds into a fine paste.
3. Add the coconut paste and yogurt to the cooked vegetables.
4. Simmer the curry for 10 minutes.
5. Heat coconut oil in a pan and add curry leaves.
6. Pour the tempered oil over the curry.
7. Serve hot with rice.",
Kerala Puttu (Steamed Rice Cake),"1. Rice flour – 2 cups
2. Grated coconut – 1 cup
3. Water – as needed
4. Salt – to taste",10 minutes,20 minutes,30 minutes,4,Kerala,Breakfast,Vegetarian,"1. Mix rice flour and salt with water to form a crumbly dough.
2. In a puttu maker, alternate layers of the dough and grated coconut.
3. Steam for about 20 minutes.
4. Serve hot with banana or curry.",
Kerala Fish Curry (Meen Curry),"1. Fish (preferably Kerala varieties) – 500 g
2. Tamarind – 1 tbsp
3. Coconut milk – 1 cup
4. Onion – 1 large (sliced)
5. Ginger – 1 inch
6. Garlic – 4 cloves
7. Red chili powder – 1 tsp
8. Turmeric powder – ½ tsp
9. Mustard seeds – 1 tsp
10. Curry leaves – 1 sprig
11. Coconut oil – 2 tbsp
12. Salt – to taste",15 minutes,25 minutes,40 minutes,4,kerala,Main Course,Non-Vegetarian,"1. Heat coconut oil in a pan, add mustard seeds, and let them splutter.
2. Add onion, ginger, and garlic and sauté until golden.
3. Add turmeric, chili powder, and salt, and cook for a minute.
4. Add tamarind, coconut milk, and water and bring it to a boil.
5. Add fish pieces and cook until the fish is done.
6. Garnish with curry leaves and serve hot.",
Kerala Paratha (Malabar Paratha),"1. All-purpose flour – 2 cups
2. Salt – 1 tsp
3. Sugar – 1 tsp
4. Water – as needed
5. Ghee – 2 tbsp
6. Oil – for frying",15 minutes,15 minutes,30 minutes,4,kerala,Main Course,Vegetarian,"1. Mix flour, salt, and sugar in a bowl.
2. Add water gradually and knead into a smooth dough.
3. Divide the dough into small balls, roll each ball into a thin sheet.
4. Apply ghee on the surface, fold, and roll into a ball again.
5. Roll out the ball again and cook on a hot griddle, flipping to cook both sides.
6. Serve hot with curry or chutney.",
Appam (Kerala Style Rice Pancakes),"1.Rice flour – 2 cups
2.All-purpose flour – 1/2 cup
3.Coconut milk – 1 1/2 cups
4.Yeast – 1 tsp
5.Sugar – 1 tsp
6.Salt – 1/2 tsp
7.Water – as needed
8.Oil – for frying",10 minutes,10 minutes per batch,20 minutes,4,Kerala,Main Course / Breakfast,Vegetarian,"1.Mix rice flour, all-purpose flour, yeast, sugar, and salt in a bowl.
2.Gradually add water and coconut milk to form a smooth batter.
3.Cover the batter and let it rest for 1-2 hours to ferment.
4.Heat a non-stick appam pan or any round shallow pan and pour a ladle of batter.
5.Swirl the pan so that the batter spreads in a circle, leaving the center soft.
6.Cook with the lid on for about 2-3 minutes, until the edges turn crispy.
7.Serve hot with vegetable stew or curry.
",
Kerala Vegetable Stew,"1.Mixed vegetables (carrot, potato, beans) – 2.2 cups
3.Coconut milk – 1 1/2 cups
4.Onion – 1, sliced
5.Green chilies – 2, slit
6.Ginger – 1-inch piece, julienned
7.Cinnamon – 1-inch stick
8.Cloves – 2
9.Cardamom – 2
10.Coconut oil – 1 tbsp
11.Salt – to taste
12.Curry leaves – a few sprigs
",15 minutes,20 minutes,35 minutes,4,Kerala,Side Dish,Vegetarian,"1.Heat coconut oil in a pan and sauté onions, ginger, and spices.
2.Add mixed vegetables and cook for a few minutes.
3.Pour coconut milk and cook until vegetables are tender.
4.Add salt and curry leaves, and simmer for 5-10 minutes.
5.Serve hot with appams or rice.",
Kappa (Tapioca) and Fish Curry,"1. Tapioca (Kappa) – 500g                                   2. Fish (any firm fish) – 300g                               3. Coconut oil – 2 tbsp                                          4. Onion – 1 large, sliced                                     5. Tomato – 1, chopped                                        6. Ginger – 1-inch piece, crushed                    7. Garlic – 3 cloves, crushed                              8. Green chilies – 2, slit                                        9. Turmeric powder – 1/2 tsp                             10. Red chili powder – 1 tsp                             11. Tamarind paste – 1 tbsp                            12. Curry leaves – a few sprigs                        13. Salt – to taste                                                  14. Water – as needed",15 minutes,30 minutes,45 minutes,4,Kerala,Main Course,Non-Vegetarian,"1.Cook the tapioca in water with a pinch of salt until soft. Drain and set aside.
2.In another pan, heat coconut oil and sauté onions, ginger, garlic, and green chilies.
3.Add tomatoes, turmeric powder, and red chili powder and cook until tomatoes are soft.
4.Add fish pieces, curry leaves, tamarind paste, and water. Cook until the fish is tender.
5.Serve the fish curry with hot, soft kappa.",
 Puttu and Kadala Curry,"1.Rice flour – 2 cups
2.Grated coconut – 1/2 cup
3.Water – as needed
4.Salt – 1/2 tsp
5.Black chickpeas (Kadala) – 1 cup
6.Onion – 1, sliced
7.Tomato – 1, chopped
8.Green chilies – 2, slit
9.Ginger – 1-inch piece, chopped
10.Coconut oil – 2 tbsp
11.Turmeric powder – 1/2 tsp
12.Garam masala – 1 tsp
13.Curry leaves – a few sprigs
14.Salt – to taste",15 minutes,30 minutes,45 minutes,4,Kerala,Breakfast,Vegetarian,"1.For the puttu, mix rice flour, grated coconut, and salt in a bowl.               2.Gradually add water to form a crumbly mixture.
3.Fill a puttu maker with the mixture and steam for 10-15 minutes.
4.For the Kadala curry, cook the black chickpeas until tender.
5.Heat coconut oil in a pan, sauté onions, ginger, green chilies, and tomatoes.
6.Add turmeric powder, garam masala, and cooked chickpeas, simmering for 10 minutes.
7.Serve the Kadala curry with the steamed Puttu.",
Kerala Chicken Fry,"1.Chicken – 500g, cut into pieces
2.Ginger – 1-inch piece, chopped
3.Garlic – 5 cloves, chopped
4.Onion – 1, sliced
5.Green chilies – 3, slit
6.Curry leaves – a few sprigs
7.Red chili powder – 1 tsp
8.Turmeric powder – 1/2 tsp
9.Coriander powder – 1 tsp
10.Fennel seeds – 1/2 tsp
11.Coconut oil – 3 tbsp
12.Salt – to taste",10 minutes,25 minutes,35 minutes,4,Kerala,Main Course,Non-Vegetarian,"1.Marinate chicken with red chili powder, turmeric, and salt for 15 minutes.
2.Heat coconut oil in a pan and sauté onions, garlic, ginger, green chilies, and fennel seeds.
3.Add marinated chicken and cook until browned.
4.Add curry leaves, coriander powder, and simmer until the chicken is cooked through.
5.Serve hot with rice or paratha.",
